choreIdOfSender,choreIdOfReceiver,status
759,155,denyed
692,646,cancelled
150,185,requested
996,511,cancelled
962,975,cancelled
649,96,cancelled
841,125,denyed
212,780,denyed
529,429,requested
613,255,requested
656,269,replaced
258,523,denyed
749,60,cancelled
603,155,replaced
16,848,cancelled
589,947,cancelled
828,278,cancelled
835,245,replaced
625,667,replaced
362,708,cancelled
817,932,denyed
715,756,denyed
685,803,replaced
68,737,requested
505,508,requested
645,393,cancelled
105,760,denyed
551,746,replaced
253,4,cancelled
752,613,requested
650,256,requested
304,599,cancelled
762,284,replaced
277,920,requested
701,363,cancelled
691,168,requested
685,427,denyed
624,303,denyed
828,552,replaced
254,67,requested
971,615,requested
326,679,cancelled
605,102,replaced
416,105,replaced
507,155,requested
249,706,replaced
341,17,requested
440,415,denyed
413,5,denyed
95,367,replaced
928,919,replaced
990,197,cancelled
305,499,cancelled
653,867,denyed
915,781,replaced
976,598,cancelled
416,286,requested
521,866,cancelled
912,862,cancelled
537,293,requested
722,211,replaced
962,789,requested
785,737,cancelled
36,48,denyed
595,764,requested
498,31,cancelled
44,363,requested
370,957,requested
185,79,cancelled
447,831,cancelled
963,6,denyed
770,415,cancelled
636,920,cancelled
392,188,requested
778,280,replaced
524,930,denyed
383,867,cancelled
331,123,denyed
109,233,cancelled
423,515,cancelled
763,112,cancelled
972,908,requested
313,324,replaced
666,6,cancelled
612,11,requested
759,125,denyed
574,11,requested
826,379,requested
349,779,cancelled
269,327,replaced
292,45,replaced
502,90,replaced
947,813,denyed
642,565,cancelled
752,485,requested
304,240,replaced
821,886,requested
518,529,denyed
499,840,cancelled
983,161,requested
830,9,cancelled
279,646,replaced
333,599,replaced
705,338,denyed
677,146,replaced
548,255,replaced
983,984,replaced
522,31,denyed
739,399,cancelled
771,347,requested
866,795,replaced
85,771,denyed
68,305,requested
192,139,replaced
210,667,cancelled
620,770,requested
231,807,requested
720,43,replaced
159,962,requested
137,672,requested
331,54,cancelled
775,932,requested
452,278,replaced
426,744,denyed
437,310,cancelled
967,860,cancelled
99,739,requested
762,789,replaced
622,29,replaced
712,155,replaced
505,553,cancelled
54,550,requested
409,245,replaced
774,424,replaced
564,738,cancelled
769,259,replaced
632,848,cancelled
821,106,cancelled
77,26,cancelled
326,168,requested
472,112,cancelled
507,473,requested
507,815,cancelled
993,718,requested
961,914,denyed
915,541,denyed
168,633,denyed
988,350,denyed
387,562,cancelled
927,92,replaced
39,304,requested
138,804,denyed
143,51,cancelled
641,783,requested
285,10,requested
673,951,replaced
44,671,cancelled
715,683,denyed
775,293,requested
784,127,denyed
724,615,replaced
712,300,replaced
739,163,cancelled
238,983,cancelled
428,186,denyed
725,989,requested
298,214,denyed
537,586,denyed
413,76,replaced
110,561,replaced
560,244,replaced
144,139,denyed
167,810,replaced
96,975,replaced
305,545,denyed
499,302,denyed
398,266,replaced
641,692,denyed
743,968,denyed
162,376,replaced
328,232,replaced
779,155,cancelled
812,957,replaced
413,434,requested
845,405,denyed
725,256,cancelled
39,485,replaced
413,299,requested
115,353,requested
767,255,denyed
216,329,requested
803,11,replaced
762,939,requested
285,975,requested
449,973,cancelled
231,155,requested
119,561,requested
76,302,requested
677,681,denyed
537,60,cancelled
239,120,denyed
645,324,denyed
729,293,denyed
514,349,denyed
717,768,requested
983,106,denyed
772,713,requested
651,245,requested
378,108,replaced
81,37,denyed
859,530,denyed
941,247,cancelled
671,51,requested
216,848,replaced
370,646,cancelled
535,18,denyed
692,993,replaced
308,542,denyed
357,671,denyed
331,69,replaced
395,771,replaced
105,65,denyed
866,417,cancelled
78,315,requested
416,652,cancelled
16,619,denyed
792,205,replaced
707,650,cancelled
537,886,replaced
954,211,replaced
701,116,replaced
111,708,replaced
54,836,cancelled
13,698,denyed
484,43,cancelled
809,263,requested
557,469,requested
430,790,replaced
849,425,requested
903,536,replaced
317,781,cancelled
782,864,replaced
91,96,cancelled
735,329,cancelled
413,193,cancelled
430,158,denyed
839,51,replaced
775,440,cancelled
402,248,requested
771,860,requested
715,807,denyed
574,499,requested
869,263,replaced
721,527,requested
56,315,replaced
87,455,cancelled
315,943,cancelled
47,269,cancelled
482,161,cancelled
313,562,denyed
941,702,denyed
272,575,denyed
848,773,replaced
861,561,cancelled
192,679,cancelled
244,850,replaced
447,846,cancelled
805,350,replaced
274,483,cancelled
886,737,cancelled
425,550,cancelled
873,168,cancelled
30,948,requested
990,415,cancelled
526,999,denyed
666,37,denyed
801,779,requested
525,621,denyed
904,678,cancelled
446,686,denyed
863,525,cancelled
1,104,requested
495,578,cancelled
262,169,cancelled
915,806,denyed
69,105,requested
391,500,requested
249,622,cancelled
289,299,denyed
780,50,replaced
301,750,cancelled
929,250,denyed
809,85,replaced
749,420,cancelled
722,678,cancelled
64,215,cancelled
321,160,requested
705,247,denyed
243,850,replaced
138,816,replaced
691,309,replaced
298,426,requested
309,82,denyed
74,536,denyed
767,406,denyed
96,43,requested
346,535,replaced
658,160,denyed
636,999,requested
928,957,requested
869,683,cancelled
95,554,requested
93,956,denyed
287,515,denyed
572,955,requested
636,208,denyed
3,708,denyed
77,379,cancelled
381,390,replaced
231,307,replaced
185,482,cancelled
391,316,requested
136,950,replaced
707,290,denyed
243,309,denyed
140,428,replaced
152,825,denyed
973,669,replaced
893,46,denyed
397,550,denyed
468,435,cancelled
495,127,denyed
440,213,requested
279,672,replaced
8,125,replaced
333,762,requested
931,718,requested
4,901,replaced
433,77,denyed
824,983,replaced
835,740,requested
17,318,cancelled
428,426,denyed
74,283,denyed
99,829,denyed
705,29,cancelled
971,523,requested
752,293,cancelled
30,453,replaced
928,110,requested
325,324,cancelled
77,398,denyed
850,17,replaced
534,750,denyed
598,154,replaced
751,775,requested
62,299,cancelled
736,259,requested
967,746,requested
884,750,cancelled
495,781,cancelled
848,399,denyed
349,6,replaced
449,273,requested
799,348,cancelled
709,633,requested
84,827,replaced
154,611,requested
972,302,cancelled
178,840,replaced
650,939,cancelled
597,771,cancelled
60,295,denyed
907,972,requested
184,565,denyed
207,286,requested
651,551,cancelled
100,185,denyed
10,975,requested
859,48,denyed
69,371,denyed
817,811,denyed
680,782,replaced
146,90,cancelled
789,811,cancelled
947,433,replaced
484,406,requested
425,18,requested
929,541,denyed
992,685,denyed
954,802,cancelled
610,63,replaced
487,829,replaced
96,46,requested
650,615,requested
279,135,cancelled
612,894,cancelled
805,932,denyed
641,483,replaced
409,842,replaced
110,441,cancelled
233,232,denyed
144,405,denyed
4,185,requested
460,723,cancelled
706,696,replaced
624,822,cancelled
828,364,replaced
692,153,replaced
239,651,denyed
752,303,replaced
903,239,replaced
846,256,cancelled
695,579,denyed
514,973,requested
214,671,cancelled
30,269,requested
292,239,denyed
917,811,denyed
721,240,denyed
711,840,cancelled
468,994,replaced
277,175,cancelled
207,737,requested
255,75,requested
302,583,requested
673,964,requested
526,667,denyed
884,919,replaced
363,893,replaced
821,763,requested
416,672,requested
962,346,requested
680,962,denyed
670,244,cancelled
305,185,cancelled
484,671,cancelled
551,776,requested
440,496,denyed
649,768,requested
253,120,replaced
723,100,denyed
978,622,replaced
669,90,requested
769,561,requested
499,536,requested
978,299,cancelled
174,431,cancelled
783,963,cancelled
548,764,requested
691,746,cancelled
585,142,denyed
163,708,replaced
898,991,requested
913,168,cancelled
846,284,replaced
439,850,requested
907,750,replaced
63,428,denyed
357,552,cancelled
605,527,replaced
779,942,denyed
967,807,requested
272,188,requested
744,965,replaced
54,683,replaced
918,597,denyed
402,17,denyed
472,188,cancelled
325,46,denyed
743,561,requested
315,373,denyed
848,869,cancelled
869,899,cancelled
928,164,cancelled
610,142,replaced
586,414,cancelled
717,91,requested
409,725,cancelled
988,565,cancelled
243,45,replaced
440,721,cancelled
578,867,requested
285,169,replaced
405,993,denyed
44,384,cancelled
430,54,denyed
87,160,cancelled
313,752,denyed
522,768,denyed
285,129,cancelled
499,943,replaced
940,708,cancelled
771,190,denyed
848,288,cancelled
290,168,requested
721,461,requested
915,485,denyed
755,621,denyed
931,724,cancelled
244,951,cancelled
447,614,replaced
965,273,denyed
314,291,denyed
907,244,requested
163,847,replaced
18,323,replaced
551,725,requested
735,447,replaced
590,441,requested
375,329,cancelled
207,836,replaced
446,637,cancelled
101,886,requested
861,295,requested
738,153,cancelled
598,410,cancelled
163,415,replaced
772,125,requested
666,500,denyed
839,831,denyed
174,992,denyed
42,82,replaced
590,339,requested
